file,blockType,key,legacySection,font,fontStyle,fontSize,bold,italic,legacyFontId,legacyFontComment,knownFontCatalogEntry,needsReview
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.info_tab,Button13,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.vehicle_tab,Button14,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.minelayer,Button15,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.repair,Button16,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.salvage,Button17,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.artillery_piece_suppression_fire,Button18,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.hold_position,Button19,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.button,ScrollButton,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.scroll_up,InfoButton0,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.scroll_down,InfoButton1,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.obj,PauseButton0,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.inmissionsave,PauseButton1,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.inmissionload,PauseButton2,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.options,PauseButton3,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.restart_mission,PauseButton4,Agency Regular,Regular,14,false,false,,,true,false
data/defs/ui/packages/legacy_imgui/game/buttonlayout640.fit,GuiButton,game.buttonlayout640.button.exit,PauseButton5,Agency Regular,Regular,14,false,false,,,true,false
